# Feature: throughput
# Experiment_time: 30.0
# rate  DropTail  RED
# time  Reno-DropTail  SACK-DropTail  Reno-RED  SACK-RED
0s  0  0  0  0
2s  4.69116210938  4.69116210938  4.69116210938  4.69116210938
4s  3.41827392578  4.48999023438  3.46832275391  3.87438964844
6s  4.65057373047  4.95422363281  4.67468261719  4.76531982422
8s  4.94598388672  4.94598388672  4.99542236328  4.98718261719
10s  4.94598388672  4.94598388672  2.88818359375  3.96783447266
12s  4.94598388672  4.94598388672  4.51873779297  4.55352783203
14s  4.94598388672  4.94598388672  4.99542236328  4.98748779297
16s  4.94598388672  4.94598388672  3.01147460938  3.89434814453
18s  4.94598388672  4.94598388672  4.36279296875  4.71649169922
20s  4.94598388672  4.94598388672  4.97924804688  3.96734619141
22s  4.93804931641  4.94598388672  2.41790771484  4.57000732422
24s  4.94567871094  4.94598388672  4.98718261719  4.99572753906
26s  4.94598388672  4.94598388672  5.01190185547  3.68121337891
28s  4.94598388672  4.94598388672  3.06121826172  4.92065429688
