# Feature: latency
# Experiment_time: 20.0
# rate  Tahoe  Reno  NewReno  Vegas
4.0MB  0.0626846441377  0.0626846441377  0.0626846441377  0.0626244929757
4.1MB  0.0626767096416  0.0626767096416  0.0626767096416  0.0625505011175
4.2MB  0.0627619297409  0.0627619297409  0.0627619297409  0.06271235616
4.3MB  0.0629580258332  0.0629580258332  0.0629580258332  0.0629112199037
4.4MB  0.0627096701064  0.0627096701064  0.0627096701064  0.0626608953674
4.5MB  0.062746546726  0.062746546726  0.062746546726  0.0626236649106
4.6MB  0.0626404658533  0.0626404658533  0.0626404658533  0.0625907551086
4.7MB  0.0628243188682  0.0628243188682  0.0628243188682  0.0627756100256
4.8MB  0.0629982946898  0.0629982946898  0.0629982946898  0.0625447321628
4.9MB  0.0627686080114  0.0627686080114  0.0627686080114  0.0627219564661
5.0MB  0.0627074488889  0.0627074488889  0.0627074488889  0.0625793716475
5.1MB  0.0627114621368  0.0627114621368  0.0627114621368  0.0626635373802
5.2MB  0.0628797673827  0.0628797673827  0.0628797673827  0.0628294913517
5.3MB  0.062702827329  0.062702827329  0.062702827329  0.0626301710043
5.4MB  0.0628251061834  0.0628251061834  0.0628251061834  0.0626596183706
5.5MB  0.0626703277831  0.0626703277831  0.0626703277831  0.0625691307471
5.6MB  0.0627750278175  0.0627750278175  0.0627750278175  0.0627265102433
5.7MB  0.0629234710849  0.0629234710849  0.0629234710849  0.0628769212763
5.8MB  0.062753866243  0.062753866243  0.062753866243  0.062692307803
5.9MB  0.062772193292  0.062772193292  0.062772193292  0.0626260992976
6.0MB  0.0626856709503  0.0626856709503  0.0626856709503  0.0626350083027
6.1MB  0.0628267366078  0.0628267366078  0.0628267366078  0.0627774445868
6.2MB  0.0629622612024  0.0629622612024  0.0629622612024  0.0629148653507
6.3MB  0.0627960019075  0.0627960019075  0.0627960019075  0.0627410236914
6.4MB  0.0627343519695  0.0627343519695  0.0627343519695  0.0625602049481
6.5MB  0.062743678475  0.062743678475  0.062743678475  0.0626959360409
6.6MB  0.0628776050286  0.0628776050286  0.0628776050286  0.0628271108442
6.7MB  0.063002458938  0.063002458938  0.063002458938  0.0629541233537
6.8MB  0.0628404403626  0.0628404403626  0.0628404403626  0.062692285897
6.9MB  0.0626755696383  0.0626755696383  0.0626755696383  0.0626230809516
7.0MB  0.0628008424734  0.0628008424734  0.0628008424734  0.0627482221511
7.1MB  0.0629211075183  0.0629211075183  0.0629211075183  0.0628735073765
7.2MB  0.063037789692  0.063037789692  0.063037789692  0.0627728840858
7.3MB  0.0628241607824  0.0628241607824  0.0628241607824  0.0626206408496
7.4MB  0.0633684151428  0.0633684151428  0.0633684151428  0.0626858508393
7.5MB  0.0645765179009  0.0645765179009  0.0645765179009  0.0633246098191
7.6MB  0.0658341866667  0.0658341866667  0.0658341866667  0.0645906200988
7.7MB  0.0671291944256  0.0671291944256  0.0671291944256  0.0659088742434
7.8MB  0.0684749098474  0.0684749098474  0.0684749098474  0.0672737916595
7.9MB  0.0698651096957  0.0698651096957  0.0698651096957  0.066901161494
8.0MB  0.0713140256457  0.0713140256457  0.0713140256457  0.066536892076
8.1MB  0.0728197860568  0.0728197860568  0.0728197860568  0.0663765903924
8.2MB  0.0743784438583  0.0743784438583  0.0743784438583  0.0648974092019
8.3MB  0.0759915479399  0.0759915479399  0.0759915479399  0.0646269930769
8.4MB  0.0770579656384  0.0770579656384  0.0770579656384  0.0658112724409
8.5MB  0.0698129503428  0.0715177478297  0.0715177478297  0.0671909340859
8.6MB  0.0709155392627  0.0694428710658  0.0720473594634  0.0671405260546
8.7MB  0.0698913924825  0.0682418610108  0.0699635732984  0.0669337898535
8.8MB  0.0698179159589  0.068871143118  0.0686926793687  0.0654730608506
8.9MB  0.0709274784206  0.069942394233  0.0689604196553  0.0670825427742
9.0MB  0.0707554070399  0.0704302716707  0.0690019363593  0.0690318577367
9.1MB  0.070927377756  0.0706479980344  0.0693975300493  0.0685028842451
9.2MB  0.0707782245509  0.0707726522613  0.0700968169654  0.0701244795771
9.3MB  0.0699909011999  0.0706511050882  0.0702131297867  0.0715410698701
9.4MB  0.0700939141742  0.0697072326316  0.0704932879418  0.0715833269561
9.5MB  0.0691840905701  0.0692709900724  0.069347189887  0.0703700881599
9.6MB  0.0691921689986  0.0696639078695  0.0695734066538  0.0716535061365
9.7MB  0.0691211321178  0.0693584538848  0.0694521287772  0.0644996008135
9.8MB  0.069430980057  0.0689797403364  0.0695909376974  0.0667287114252
9.9MB  0.0678491356844  0.0702304821375  0.0697464832493  0.0663447306428
10.0MB  0.0657296763794  0.0647766999059  0.0643129937265  0.0628411056495
