# Feature: throughput
# Experiment_time: 20.0
# rate  Tahoe  Reno  NewReno  Vegas
3.3MB  2.55001530009  2.55001530009  2.55001530009  2.45003858811
3.4MB  2.55001746762  2.55001746762  2.55001746762  2.45012079095
3.5MB  2.55005010848  2.55005010848  2.55005010848  2.45003589303
3.6MB  2.55009205832  2.55009205832  2.55009205832  2.45000980004
3.7MB  2.55002715779  2.55002715779  2.55002715779  2.45003172791
3.8MB  2.55004615584  2.55004615584  2.55004615584  2.4500154351
3.9MB  2.55006477165  2.55006477165  2.55006477165  2.45002009016
4.0MB  2.55007752236  2.55007752236  2.55007752236  2.45004900098
4.1MB  2.55001020004  2.55001020004  2.55001020004  2.45002768531
4.2MB  2.55009205832  2.55009205832  2.55009205832  2.45001862014
4.3MB  2.55001224006  2.55001224006  2.55001224006  2.45007828
4.4MB  2.55004271322  2.55004271322  2.55004271322  2.45002829783
4.5MB  2.55000433501  2.55000433501  2.55000433501  2.45008624304
4.6MB  2.60001885014  2.60001885014  2.60001885014  2.45001274007
4.7MB  2.55002805031  2.55002805031  2.55002805031  2.45006676432
4.8MB  2.5500006375  2.5500006375  2.5500006375  2.45000098
4.9MB  2.55002001766  2.55002001766  2.55002001766  2.4500270728
5.0MB  2.55000612001  2.55000612001  2.55000612001  2.45007252215
5.1MB  2.550001275  2.550001275  2.550001275  2.45001445509
5.2MB  2.55000892503  2.55000892503  2.55000892503  2.45004851096
5.3MB  2.5500226952  2.5500226952  2.5500226952  2.45014798894
5.4MB  2.55001083755  2.55001083755  2.55001083755  2.45003099289
5.5MB  2.55007752236  2.55007752236  2.55007752236  2.45005341116
5.6MB  2.55009001818  2.55009001818  2.55009001818  2.45011111254
5.7MB  2.55013184182  2.55013184182  2.55013184182  2.4501014342
5.8MB  2.55003302293  2.55003302293  2.55003302293  2.4500018375
5.9MB  2.55000586501  2.55000586501  2.55000586501  2.45001935515
6.0MB  2.55000879753  2.55000879753  2.55000879753  2.45003270794
6.1MB  2.55001963515  2.55001963515  2.55001963515  2.45006443669
6.2MB  2.55002205769  2.55002205769  2.55002205769  2.45001029004
6.3MB  2.55005010848  2.55005010848  2.55005010848  2.45005598378
6.4MB  2.55001045504  2.55001045504  2.55001045504  2.45000049
6.5MB  2.55002907033  2.55002907033  2.55002907033  2.45001457759
6.6MB  2.55003417046  2.55003417046  2.55003417046  2.45000600251
6.7MB  2.55004322323  2.55004322323  2.55004322323  2.45001139255
6.8MB  2.55000637502  2.55000637502  2.55000637502  2.45001445509
6.9MB  2.55001415258  2.55001415258  2.55001415258  2.45000673752
7.0MB  2.55003289542  2.55003289542  2.55003289542  2.45006529424
7.1MB  2.55003799557  2.55003799557  2.55003799557  2.45001029004
7.2MB  2.55004029064  2.55004029064  2.55004029064  2.4500028175
7.3MB  2.55001797763  2.55001797763  2.55001797763  2.45006921446
7.4MB  2.55000624752  2.55000624752  2.55000624752  2.45011527792
7.5MB  2.50009600369  2.50009600369  2.50009600369  2.45003724057
7.6MB  2.4500470409  2.4500470409  2.4500470409  2.40000360001
7.7MB  2.40000660002  2.40000660002  2.40000660002  2.35002820034
7.8MB  2.35006157161  2.35006157161  2.35006157161  2.30002024018
7.9MB  2.30000920004  2.30000920004  2.30000920004  2.25006491437
8.0MB  2.25009990444  2.25009990444  2.25009990444  2.20004400088
8.1MB  2.20004620097  2.20004620097  2.20004620097  2.1500029025
8.2MB  2.1500009675  2.1500009675  2.1500009675  2.10001554011
8.3MB  2.10009775955  2.10009775955  2.10009775955  2.05002716286
8.4MB  2.10012674265  2.10012674265  2.10012674265  2.00003800072
8.5MB  2.00010990604  2.0000916042  2.0000916042  1.95000897004
8.6MB  2.00024803076  1.90001852518  2.00008640373  1.90005168141
8.7MB  1.90012037263  1.85006882256  1.95009584721  1.85009148702
8.8MB  1.90039917885  1.80015553344  1.85001776017  1.80007200288
8.9MB  1.8500333006  1.75000446251  1.80004221099  1.75007140291
9.0MB  1.80001134007  1.75018998312  1.75013125984  1.70001071007
9.1MB  1.75021623922  1.70001530014  1.70000739503  1.65005494683
9.2MB  1.70011008213  1.65011608567  1.65017813673  1.65000288751
9.3MB  1.65015461949  1.65000808504  1.65017574372  1.60026708458
9.4MB  1.60004712139  1.60028397039  1.65024398857  1.6005632382
9.5MB  1.60013689171  1.55115273916  1.60004856147  1.55002286284
9.6MB  1.55004929157  1.55000465001  1.55012742047  1.60008832488
9.7MB  1.50002362537  1.50002842554  1.50031289025  1.35005204451
9.8MB  1.46106721892  1.40013042215  1.4507769636  1.35039188372
9.9MB  1.40044352046  1.40091661974  1.40128680167  1.30009770234
10.0MB  1.40206349234  1.50951318432  1.53648610827  1.45686796697
